pro_com_t,mail
001235,segreteria@comune.samone.tn.it
001236,protocollo@comune.sanbenignocanavese.to.it
001237,comune@comune.sancarlocanavese.to.it
001238,info@comune.sancolombanobelmonte.to.it
001240,comune@comune.sanfrancescoalcampo.to.it
001244,municipio@comunesangiorgio.it
001246,protocollo@comune.sangiustocanavese.to.it
001247,san.martino.canavese@ruparpiemonte.it
001248,protocollo@comune.sanmauriziocanavese.to.it
001249,ufficio.protocollo@comune.sanmaurotorinese.to.it
001250,sanpietrovallemina@comune.sanpietrovallemina.to.it
001251,san.ponso@ruparpiemonte.it
001252,protocollo@comune.sanraffaelecimena.to.it
001253,segreteria@comunesansebastianodapo.it
001255,info@comune.santambrogioditorino.to.it
001256,info@comune.santantoninodisusa.to.it
001257,info@comune.santena.to.it
001258,info@comune.sauzedicesana.to.it
001260,scalenghe@ruparpiemonte.it
001261,scarmagno@comune.scarmagno.to.it
001262,info@comunedisciolze.it
001264,protocollo.settimo.rottaro@cert.ruparpemonte.it
001267,ragioneria@comune.sparone.to.it
001268,strambinello@ruparpiemonte.it
001270,info@comune.susa.to.it
001271,ragioneria@comune.tavagnasco.to.it
001273,protocollo@torrazzapiemonte.eu
001274,comunetorrecan@libero.it
001276,protocollo@comune.trana.to.it
001279,traves@ruparpiemonte.it
001281,usseaux@ruparpiemonte.it
001282,ragioneria@comune.usseglio.to.it
001283,info@comune.vaie.to.it
001284,protocollo@valdellatorre.gov.it
001285,protocollo@comune.valgioie.to.it
001288,comune.valprato@gmail.com
001289,info@comunevarisella.to.it
001290,demografici@comune.vaudacanavese.to.it
001291,info@comune.venaus.to.it
001293,protocollo.verolengo@ruparpiemonte.it
001294,ragioneria@comune.verruasavoia.to.it
001295,info@comune.vestigne.to.it
001296,info@comune.vialfre.to.it
001298,ragioneria.vidracco@libero.it
001300,info@comune.villafrancapiemonte.to.it
001301,protocollo@comune.villanovacanavese.to.it
001302,protocollo@comune.villarbasse.to.it
001303,protocollo@comune.villardora.to.it
001304,contabile@comune.villareggia.to.it
001306,ragioneria@comunevillarpellice.it
001307,segreteria@comune.villarperosa.to.it
001309,segreteria@comune.vinovo.to.it
001310,virle.piemonte@ruparpiemonte.it
001311,info@comune.vische.to.it
001312,protocollo@comune.vistrorio.to.it
001313,segreteria@comune.viu.to.it
001314,info@comune.volpiano.to.it
002002,protocollo@comune.alagnavalsesia.vc.it
002003,albano.vercellese@libero.it
002004,segreteria.alice.castello@ruparpiemonte.it
002006,arborio@mclink.it
002007,asigliano.vercellese@reteunitaria.piemonte.it
002008,balmuccia@ruparpiemonte.it
002011,bianze@ruparpiemonte.it
002014,boccioleto@reteunitaria.piemonte.it
002015,info@comuneborgodale.info
002021,comune@comunediburonzo.it
002025,sindaco.campertogno@reteunitaria.piemonte.it
002029,protocollo@comune.altosermenza.vc.it
002030,sindacocaresana@comuniubv.it
002031,comune_caresanablot@libero.it
002032,sindaco.carisio@ruparpiemonte.it
002033,casanova.elvo@ruparpiemonte.it
002035,info@comune.sangiacomovercellese.vc.it
002041,cervatto@reteunitaria.piemonte.it
002042,comune@cigliano.net
002043,segreteria@comune.civiasco.vc.it
002047,costanzana@comuniubv.it
002048,cravagliana@reteunitaria.piemonte.it
002049,protocollo@comune.crescentino.vc.it
002052,crova@ruparpiemonte.it
002057,fobello@reteunitaria.piemonte.it
002058,fontanetto.po@reteunitaria.piemonte.it
002059,formigliana@ruparpiemonte.it
002061,protocollo@comune.gattinara.vc.it
002062,ghislarengo@ruparpiemonte.it
002065,greggio@ruparpiemonte.it
002066,comuneguardabosone@libero.it
002067,uffici@comune.lamporo.vc.it
002070,lignana@ruparpiemonte.it
002071,segreteria@comune.livornoferraris.vc.it
002072,municipio@comune.lozzolo.vc.it
002078,mollia@reteunitaria.piemonte.it
002079,uffici@comune.moncrivello.vc.it
002082,mottadeiconti@comuniubv.it
002088,anagrafe@comuneolcenengo.it
002089,oldenico@libero.it
002090,palazzolo.vercellese@reteunitaria.piemonte.it
002091,pertengo@comuniubv.it
002093,pezzana@comuniubv.it
002096,pila@ruparpiemonte.it
002097,municipio@comune.piode.vc.it
002102,postua1@libero.it
002104,comuneprarolo@libero.it
002107,segreteria@comunequarona.it
002110,rassa@ruparpiemonte.it
002113,rimella@comune.rimella.vc.it
002115,rive@reteunitaria.piemonte.it
002116,segreteria@comune.roasio.vc.it
002118,amministrativo@comune.ronsecco.vc.it
002121,rossa@ruparpiemonte.it
002126,comune.salasco@virgilio.it
002127,sali.vercellese@ruparpiemonte.it
002128,segreteria@comune.saluggia.vc.it
002131,segreteria@comune.sangermanovercellese.vc.it
002134,scopa@ruparpiemonte.it
002137,protocollo@comune.serravallesesia.vc.it
002142,stroppiana@comuniubv.it
002147,anagrafe.tricerro@reteunitaria.piemonte.it
002148,ufficiotecnico.trino@comune.trino.vc.it
002156,info@comune.varallo.vc.it
002163,villarboit@reteunitaria.piemonte.it
002164,villata@reteunitaria.piemonte.it
002166,sindaco.vocca@reteunitaria.piemonte.it
002170,protocollo@comune.altosermenza.vc.it
003001,municipio@comune.agrateconturbia.no.it
003002,ufficio.protocollo@comune.ameno.novara.it
003006,protocollo@comune.armeno.no.it
003008,protocollo@comune.arona.no.it
003012,segreteria@comune.barengo.no.it
003016,municipio@comune.bellinzago.no.it
003018,info@comune.biandrate.no.it
003019,amministrazione@comune.boca.no.it
003022,segreteria@comune.bolzanonovarese.no.it
003024,urp@comune.borgomanero.no.it
003026,info@comune.briga-novarese.no.it
003032,comune@comune.cameri.no.it
003036,info@comune.carpignanosesia.no.it
003037,segreteria@comune.casalbeltrame.no.it
003039,municipio@comune.casaleggionovara.no.it
003041,municipio@comune.casalvolone.no.it
003042,municipio@comune.castellazzonovarese.no.it
003043,ufficiosegreteria@comune.castellettosopraticino.no.it
003044,comune@comune.cavaglietto.no.it
003045,responsabiletributi.cavaglio.dagogna@ruparpiemonte.it
003047,protocollo@comune.cavallirio.novara.it
003049,comune@comune.cerano.no.it
003051,municipio@comune.colazza.no.it
003052,ragioneria@comune.comignago.no.it
003055,segreteria@comune.cressa.no.it
003058,segreteria@comune.cureggio.no.it
003060,segreteria@comune.divignano.no.it
003062,comune@comune.dormelletto.no.it
003066,demografici@comune.fontaneto.no.it
003068,comune@comune.galliate.no.it
003069,municipio@comune.garbagna.no.it
003070,municipio@comune.gargallo.no.it
003082,segreteria@comune.invorio.no.it
003083,finanziario@comune.landiona.no.it
003088,comune@comune.maggiora.no.it
003090,municipio@comune.mandellovitta.no.it
003091,segreteria@comune.maranoticino.no.it
003098,miasino@reteunitaria.piemonte.it
003103,info@comune.nebbiuno.no.it
003108,urp@comune.oleggio.no.it
003109,info@comune.oleggiocastello.no.it
003114,segreteria@comune.paruzzaro.no.it
003119,uffici@comune.pisano.novara.it
003120,municipio@comune.pogno.no.it
003121,segreteria@comune.pombia.no.it
003129,comune@comune.recetto.no.it
003133,municipio@comune.sanmauriziodopaglio.no.it
003134,san.nazzaro.sesia@ruparpiemonte.it
003138,municipio@comune.sillavengo.no.it
003139,municipio@comune.sizzano.no.it
003140,municipio@comune.soriso.no.it
003141,info@comune.sozzago.no.it
003143,comune@comune.suno.novara.it
003144,info@comune.terdobbiate.no.it
003146,tornaco@ruparpiemonte.it
003153,anagrafe@comune.vapriodagogna.no.it
003158,municipio@comune.vespolate.no.it
003159,info@comune.vicolungo.no.it
003164,municipio@comune.vinzaglio.no.it
004001,info@comune.acceglio.cn.it
004002,comune.aisone@vallestura.cn.it
004004,albarettotorre@tiscali.it
004005,alto@ruparpiemonte.it
004006,comune.argentera@gmail.com
004007,segreteria@comune.arguello.cn.it
004011,barbaresco@comune.barbaresco.cn.it
004012,barge@comune.barge.cn.it
004013,protocollo@comune.barolo.cn.it
004015,battifollo@ruparpiemonte.it
004016,protocollo@comune.beinette.cn.it
004017,info@comune.bellino.cn.it
004018,belvedere.langhe@reteunitaria.piemonte.it
004019,ufficioprotocollo@benevagienna.it
004020,comune@comune.benevello.cn.it
004021,bergolo@ruparpiemonte.it
004022,info@comune.bernezzo.cn.it
004023,info@comune.bonvicino.cn.it
004024,borgomale.com@cnnet.it
004025,protocollo@comune.borgosandalmazzo.cn.it
004026,info@comune.bosia.cn.it
004027,ufficiopubblico@comune.bossolasco.cn.it
004030,briaglia@ruparpiemonte.it
004031,briga.alta@ruparpiemonte.it
004032,info@comune.brondello.cn.it
004033,segreteria@comune.brossasco.cn.it
004035,comunecamerana@tiscalinet.it
004038,info@comune.canosio.cn.it
004039,caprauna@ruparpiemonte.it
004040,protocollo@comune.caraglio.cn.it
004041,protocollo@comune.caramagnapiemonte.cn.it
004042,comune.carde@isiline.it
004043,protocollo@comune.carru.cn.it
004044,info@comune.cartignano.cn.it
004047,info@comune.casteldelfino.cn.it
004049,info@comune.castellettostura.cn.it
004050,castelletto.uzzone@reteunitaria.piemonte.it
004052,castellino.tanaro@reteunitaria.piemonte.it
004053,castelmagno@ruparpiemonte.it
004055,castiglionefalletto@comune.castiglionefalletto.cn.it
004056,protocollo@comune.castiglionetinella.cn.it
004057,castino@reteunitaria.piemonte.it
004058,comune.cavallerleone@multiwire.net
004059,info@comune.cavallermaggiore.cn.it
004060,segreteria@comune.celledimacra.cn.it
004062,info@comune.ceresoledalba.cn.it
004063,info@comune.cerrettolanghe.cn.it
004064,info@comune.cervasca.cn.it
004065,info@comune.cervere.cn.it
004066,ufficio.protocollo@comune.ceva.cn.it
004069,ciglie@ruparpiemonte.it
004070,info@comune.cissone.cn.it
004071,info@clavesana.info
004072,corneliano.dalba@ruparpiemonte.it
004073,info1@comune.cortemilia.cn.it
004074,info@comune.cossanobelbo.cn.it
004075,segreteria@comune.costigliolesaluzzo.cn.it
004076,cravanzana@ruparpiemonte.it
004077,municipio@comune.crissolo.cn.it
004078,ufficio.protocollo@comune.cuneo.it
004079,protocollo@comune.demonte.cn.it
004080,comune@comune.dianodalba.cn.it
004081,protocollo@comune.dogliani.cn.it
004082,info@comune.dronero.cn.it
004083,info@comune.elva.cn.it
004086,protocollo@comune.farigliano.cn.it
004088,feisoglio@ruparpiemonte.it
004089,info@comune.fossano.cn.it
004090,frabosa.soprana@ruparpiemonte.it
004093,gaiola@vallestura.cn.it
004094,gambasca@unionemonviso.it
004096,segretario@comune.genola.cn.it
004097,gorzegno@reteunitaria.piemonte.it
004098,gottasecca@reteunitaria.piemonte.it
004099,segreteria@comune.govone.cn.it
004101,ragioneria@guarene.it
004103,isasca@ruparpiemonte.it
004105,protocollo@comune.lamorra.cn.it
004106,lequio.berria@reteunitaria.piemonte.it
004109,levice@reteunitaria.piemonte.it
004111,lisio@ruparpiemonte.it
004112,macra@ruparpiemonte.it
004113,segreteria.maglianoalfieri@gmail.com
004115,info@comune.mango.cn.it
004117,info@comune.marene.cn.it
004118,margarita@ruparpiemonte.it
004119,info@comune.marmora.cn.it
004120,marsaglia@infosys.it
004121,meineri.donatella@unionemonviso.it
004123,moiola@vallestura.cn.it
004124,mombarcaro@tiscali.it
004125,mombasiglio@ruparpiemonte.it
004126,monastero.di.vasco@ruparpiemonte.it
004127,monasterolo.casotto@reteunitaria.piemonte.it
004129,protocollo@comune.monchiero.cn.it
004130,info@comune.mondovi.cn.it
004131,monesiglio@reteunitaria.piemonte.it
004132,protocollo@comune.monforte.cn.it
004133,s.moresco@comune.monta.cn.it
004134,anagrafe@comune.montaldodimondovi.cn.it
004135,montaldo.roero@ruparpiemonte.it
004137,info@comune.montelupoalbese.cn.it
004138,comune.montemale@tiscali.it
004139,info@comune.monterossograna.cn.it
004141,info@comune.montezemolo.cn.it
004142,info@comune.monticellodalba.cn.it
004143,info@comune.moretta.cn.it
004144,protocollo@comune.morozzo.cn.it
004145,comune@comune.murazzano.cn.it
004146,info@comune.murello.cn.it
004148,neive@comune.neive.cn.it
004149,comunedineviglie@libero.it
004150,niella.belbo@reteunitaria.piemonte.it
004151,info@comune.niellatanro.cn.it
004152,protocollo@comune.novello.cn.it
004154,info@comune.oncino.cn.it
004155,protocollo@comune.ormea.cn.it
004158,anagrafe@comune.pagno.cn.it
004159,pamparato@ruparpiemonte.it
004160,segretariocomunale.paroldo@reteunitaria.piemonte.it
004161,perletto@ruparpiemonte.it
004162,perlo@ruparpiemonte.it
004163,protocollo@comune.peveragno.cn.it
004164,info@comune.pezzolovalleuzzone.cn.it
004165,finanziario@comune.pianfei.cn.it
004167,pietraporzio@vallestura.cn.it
004168,piobesi.dalba@ruparpiemonte.it
004169,info@comune.piozzo.cn.it
004171,info@comune.polonghera.cn.it
004172,info@comune.pontechianale.cn.it
004173,info@comune.pradleves.cn.it
004174,info@comune.prazzo.cn.it
004175,com.priero@vallinrete.org
004176,priocca@ruparpiemonte.it
004178,prunetto@ruparpiemonte.it
004180,info@comune.revello.cn.it
004181,info@comune.rifreddo.cn.it
004183,info@comune.roaschia.cn.it
004184,roascio@ruparpiemonte.it
004185,info@comune.robilante.cn.it
004187,info@comune.roccabruna.cn.it
004188,rocca.ciglie@ruparpiemonte.it
004190,segreteria@comune.rocafortemondovi.cn.it
004192,protocollo@comune.roccavione.cn.it
004193,rocchetta.belbo@reteunitaria.piemonte.it
004194,ragioneria@comunediroddi.it
004195,info@comune.roddino.cn.it
004196,rodello@comune.rodello.cn.it
004197,info@comune.rossana.cn.it
004198,ruffia@reteunitaria.piemonte.it
004199,sale.delle.langhe@ruparpiemonte.it
004200,sale.san.giovanni@ruparpiemonte.it
004201,saliceto@reteunitaria.piemonte.it
004202,salmour@ruparpiemonte.it
004204,info@comune.sambuco.cn.it
004206,ufficio@comune.sanbenedettobelbo.cn.it
004207,san.damiano.macra@ruparpiemonte.it
004208,sanfre@ruparpiemonte.it
004209,info@comune.sanfront.cn.it
004211,segreteria@comune.santalbanostura.cn.it
004213,info@santostefanobelbo.it
004214,ragioneria@comune.santo-stefano-roero.cn.it
004215,info@comune.savigliano.cn.it
004217,segreteria@comune.scarnafigi.cn.it
004220,info@comune.sinio.cn.it
004221,somano@comune.somano.cn.it
004222,lavori.pubblici@comune.sommarivadelbosco.cn.it
004223,sindaco.sommariva.perno@ruparpiemonte.it
004224,info@comune.stroppo.cn.it
004226,torre.bormida@reteunitaria.piemonte.it
004227,info@comune.torremondovi.cn.it
004230,treiso@comune.treiso.cn.it
004231,comune.trezzotinella@gmail.com
004232,municipio@comune.trinita.cn.it
004233,protocollo@comune.valdieri.cn.it
004234,info@comune.valgrana.cn.it
004237,sindaco.venasca@ruparpiemonte.it
004238,protocollo@comune.verduno.cn.it
004239,protocollo@comune.vernante.cn.it
004240,protocollo@comune.verzuolo.cn.it
004242,ragioneria.vicoforte@ruparpiemonte.it
004243,info@comune.vignolo.cn.it
004245,info@comune.villanova-mondovi.cn.it
004246,villanova.solaro@tiscali.it
004247,comune.villarsc@afpdronero.it
004249,viola@reteunitaria.piemonte.it
004250,info@comune.vottignasco.cn.it
005001,protocollo@comune.aglianoterme.at.it
005002,protocollo@comune.albugnano.at.it
005003,segreteria@comune.antignano.at.it
005004,info@comune.aramengo.at.it
005005,f.bellone@comune.asti.it
005006,azzano@comune.azzanodasti.at.it
005008,segreteria@comune.belveglio.at.it
005009,protocollo@comune.berzanosanpietro.at.it
005010,segreteria@comune.bruno.at.it
005011,info@comune.bubbio.at.it
005012,sindaco@comune.buttigliera.at.it
005014,protocollo@comune.calliano.at.it
005016,info@comune.camerano.at.it
005018,comunecantarana@libero.it
005019,info@comune.capriglio.at.it
005020,protocollo@comune.casorzo.at.it
005023,protocollo@comune.castagnolemonferrato.at.it
005025,segreteria@comune.castellalfero.at.it
005027,protocollo@comune.castellettomolina.at.it
005029,sindaco@comune.castelnuovobelbo.at.it
005030,info@comune.castelnuovocalcea.at.it
005032,castel.rocchero@comune.castelrocchero.at.it
005033,cellarengo@ruparpiemonte.it
005034,anagrafe@comune.celleenomondo.at.it
005035,protocollo@comune.cerreto.asti.it
005036,protocollo@comune.cerrotanaro.at.it
005037,municipio@comune.cessole.at.it
005038,responsabiletributi.chiusano.dasti@ruparpiemonte.it
005039,protocollo@comune.cinaglio.at.it
005040,protocollo@comune.cisterna.at.it
005041,ragioneria.coazzolo@libero.it
005042,amministrativo@cocconato.info
005044,comune.corsione@libero.it
005045,info@comune.cortandone.at.it
005046,comune.cortanze@libero.it
005047,info@comune.cortazzone.at.it
005048,comune.cortiglione@gmail.com
005049,comune_cossombrato@libero.it
005050,affarigenerali@costigliole.it
005051,tributi.cunico@gmail.com
005052,info@comune.dusinosanmichele.at.it
005053,municipio@comune.ferrere.at.it
005054,protocollo@comune.fontanile.at.it
005055,ragioneria@comune.frinco.at.it
005056,comunedigrana@micso.net
005057,info@comune.grazzanobadoglio.at.it
005060,comuneloazzolo@libero.it
005061,segreteria@comune.maranzana.at.it
005062,protocollo.maretto@gmail.com
005063,info@comune.moasca.at.it
005064,uffici@comune.mombaldone.at.it
005065,protocollo@comune.mombaruzzo.at.it
005067,info@comune.monale.at.it
005068,info@comunemonastero.at.it
005069,protocollo@comune.moncalvo.at.it
005070,comune@comune.moncucco.asti.it
005071,amministrativo@comune.mongardino.at.it
005072,montabone@comune.montabone.at.it
005073,info@comune.montafia.asti.it
005074,protocollo@comune.montaldoscarampi.at.it
005075,montechiaro.asti@inwind.it
005076,comune@comune.montegrossodasti.at.it
005077,info@comune.montemagno.at.it
005079,info@comune.moransengo.at.it
005081,uffici@comune.olmogentile.at.it
005083,uffici@comune.penango.at.it
005084,piea@comune.piea.at.it
005085,protocollo@comune.pinodasti.at.it
005087,info@comune.portacomaro.at.it
005088,protocollo@comune.quaranti.at.it
005090,segreteria@comune.revigliasco.asti.it
005091,comuneroatto@libero.it
005092,protocollo@comune.robella.at.it
005093,ragioneria@comune.roccadarazzo.at.it
005094,ragioneria@comune.roccaverano.at.it
005096,protocollo@comune.rocchettatanaro.at.it
005098,sindaco@comune.sangiorgioscarampi.at.it
005099,protocollo@comune.sanmartinoalfieri.at.it
005100,protocollo@comune.sanmarzanooliveto.at.it
005101,comune@comune.sanpaolosolbrito.at.it
005103,scurzolengo@ruparpiemonte.it
005104,uffici@comune.serole.at.it
005105,info@comune.sessame.at.it
005106,comune.settime@comunedisettime.it
005107,responsabiletributi.soglio@ruparpiemonte.it
005109,uffici@comune.tonco.at.it
005110,protocollo@comune.tonengo.at.it
005111,protocollo@comune.vaglioserra.at.it
005112,municipio@comune.valfenera.at.it
005113,sindaco@comunevesime.it
005114,comuneviale@yahoo.it
005115,info@comune.viarigi.at.it
005116,vigliano@comune.vigliano.at.it
005117,info@comune.villafrancadasti.at.it
005118,protocollo_segreteria@comune.villanova.at.it
005119,villasansecondo@libero.it
005120,protocollo@comune.vinchio.at.it
006001,protocollo@comune.acquiterme.al.it
006002,albera.ligure@reteunitaria.piemonte.it
006004,info@comune.alfianonatta.al.it
006005,info@comune.alicebelcolle.al.it
006007,info@comune.altavillamonferrato.al.it
006008,info@comune.alzanoscrivia.al.it
006010,info@comune.avolasca.al.it
006011,info@comune.balzola.al.it
006012,segreteria@comune.basaluzzo.al.it
006013,protocollo@comune.bassignana.al.it
006014,info@comune.belfortemonferrato.al.it
006015,protocollo@comune.bergamasco.al.it
006016,info@comune.berzanoditortona.al.it
006017,comune@comune.bistagno.al.it
006019,segreteria@comune.borgoratto.al.it
006020,segreteria@comune.borgosanmartino.al.it
006021,info@comune.boscomarengo.al.it
006022,info@comune.bosio.al.it
006023,segreteria@comune.bozzole.al.it
006025,cabella.ligure@reteunitaria.piemonte.it
006026,info@comune.camagnamonferrato.al.it
006028,comune.cantalupo@libero.it
006029,ragioneria@comune.capriatadorba.al.it
006030,comune.carbonara@libero.it
006031,info@comune.carentino.al.it
006032,info@comune.carezzano.al.it
006033,carpeneto@ruparpiemonte.it
006034,info@comune.carregaligure.al.it
006035,info@comune.carrosio.al.it
006037,anagrafe@comune.casalcermelli.al.it
006038,info@comune.casaleggioboiro.al.it
006041,segreteria@comune.casasco.al.it
006045,segreteria@comune.castellania.al.it
006046,info@comune.castellarguidobono.al.it
006047,protocollo@comunecastellazzobormida.it
006048,comune.castellettoderro@gmail.com
006049,protocollo@comune.castellettodorba.al.it
006050,castelletto.merli@ruparpiemonte.it
006051,ragioneria@castellettomonferrato.piemonte.it
006052,info@comune.castelnuovobormida.al.it
006053,segreteria@comune.castelnuovoscrivia.al.it
006054,castelspina@libero.it
006055,info@comune.cavatore.al.it
006056,info@comune.cellamonte.al.it
006057,ragioneria@comune.cereseto.al.it
006059,cerrina.alemanno@libero.it
006060,info@comune.coniolo.al.it
006063,ufficio.sindaco@comune.cremolino.al.it
006065,posta@comunedenice.it
006066,info@comune.dernice.al.it
006067,comune@fabbricacurone.it
006068,protocollo@comune.felizzano.al.it
006069,info@comune.fraconalto.al.it
006070,protocollo@comune.francavillabisio.al.it
006071,info@comune.frascaro.al.it
006072,ragioneria@comune.frassinellomonferrato.al.it
006073,info@comune.frassinetopo.al.it
006074,info@comune.fresonara.al.it
006075,info@comune.frugarolo.al.it
006077,info@comune.gabiano.al.it
006078,protocollo@comune.gamalero.al.it
006079,info@comune.garbagna.al.it
006082,info@comune.giarole.al.it
