comune,pro_com_t,lat,long,den_prov,sigla,den_reg,cod_reg,cap,cf,pec,mail,sito_web,wikipedia,stemma
Arignano,001012,45.040275,7.901594,Torino,TO,Piemonte,1,10020,82000590016,arignano.torino@legalmail.it,,http://comune.arignano.to.it,https://it.wikipedia.org/wiki/Arignano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001012.jpg
Avigliana,001013,45.077944,7.39839,Torino,TO,Piemonte,1,10051,1655950010,comuneavigliana@cert.legalmail.it,segreteria.avigliana@ruparpiemonte.it,http://comune.avigliana.to.it,https://it.wikipedia.org/wiki/Avigliana,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001013.jpg
Azeglio,001014,45.423459,7.993922,Torino,TO,Piemonte,1,10010,84000970016,protocollo.azeglio@cert.ruparpiemonte.it,azeglio@ruparpiemonte.it,http://comune.azeglio.to.it,https://it.wikipedia.org/wiki/Azeglio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001014.jpg
Bairo,001015,45.386587,7.755447,Torino,TO,Piemonte,1,10010,83501730010,bairo@postemailcertificata.it,info@comune.bairo.to.it,http://comune.bairo.to.it,https://it.wikipedia.org/wiki/Bairo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001015.jpg
Balangero,001016,45.275323,7.520282,Torino,TO,Piemonte,1,10070,1834020016,segreteria.balangero@pec.it,segreteria@comune.balangero.to.it,http://comune.balangero.to.it,https://it.wikipedia.org/wiki/Balangero,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001016.jpg
Baldissero Canavese,001017,45.410256,7.744217,Torino,TO,Piemonte,1,10080,83501370015,segreteria.baldisserocanavese@actaliscertymail.it,,http://comune.baldisserocanavese.to.it,https://it.wikipedia.org/wiki/Baldissero_Canavese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001017.jpg
Baldissero Torinese,001018,45.068636,7.816531,Torino,TO,Piemonte,1,10020,90002900018,anagrafe.baldissero.torinese@cert.ruparpiemonte.it,segreteria.baldissero.torinese@ruparpiemonte.it,http://comune.baldisserotorinese.to.it,https://it.wikipedia.org/wiki/Baldissero_Torinese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001018.jpg
Balme,001019,45.302504,7.215432,Torino,TO,Piemonte,1,10070,83002910012,balme@pec.comune.balme.to.it,info@comune.balme.to.it,http://comune.balme.to.it,https://it.wikipedia.org/wiki/Balme,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001019.jpg
Banchette,001020,45.453558,7.856318,Torino,TO,Piemonte,1,10010,84000990014,banchette@cert.ruparpiemonte.it,,http://comune.banchette.to.it,https://it.wikipedia.org/wiki/Banchette,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001020.jpg
Barbania,001021,45.291252,7.630317,Torino,TO,Piemonte,1,10070,83000050019,barbania@cert.ruparpiemonte.it,sindaco.barbania@ruparpiemonte.it,http://comune.barbania.to.it,https://it.wikipedia.org/wiki/Barbania,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001021.jpg
Bardonecchia,001022,45.078339,6.703205,Torino,TO,Piemonte,1,10052,86501270010,comune.bardonecchia@pec.it,segreteria@bardonecchia.it,http://comune.bardonecchia.to.it,https://it.wikipedia.org/wiki/Bardonecchia,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001022.jpg
Barone Canavese,001023,45.325527,7.873063,Torino,TO,Piemonte,1,10010,1385030018,barone.canavese@cert.ruparpiemonte.it,info@comune.barone.to.it,http://comune.barone.to.it,https://it.wikipedia.org/wiki/Barone_Canavese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001023.jpg
Beinasco,001024,45.022097,7.579397,Torino,TO,Piemonte,1,10092,2042100012,protocollo@comune.beinasco.legalmail.it,ced@comune.beinasco.to.it,http://comune.beinasco.to.it,https://it.wikipedia.org/wiki/Beinasco,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001024.jpg
Bibiana,001025,44.798937,7.288219,Torino,TO,Piemonte,1,10060,2089080010,postacert@pec.comunebibiana.it,info@comune.bibiana.to.it,http://comune.bibiana.to.it,https://it.wikipedia.org/wiki/Bibiana,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001025.jpg
Bobbio Pellice,001026,44.807952,7.116764,Torino,TO,Piemonte,1,10060,2168110019,protocollo.comunebobbiopellice@pec.it,info@comune.bobbiopellice.to.it,http://comune.bobbiopellice.to.it,https://it.wikipedia.org/wiki/Bobbio_Pellice,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001026.jpg
Bollengo,001027,45.470859,7.94202,Torino,TO,Piemonte,1,10012,84000650014,comune.bollengo.to@legalmail.it,info@comune.bollengo.to.it,http://comune.bollengo.to.it,https://it.wikipedia.org/wiki/Bollengo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001027.jpg
Borgaro Torinese,001028,45.152145,7.657973,Torino,TO,Piemonte,1,10071,83000090015,comune.borgaro-torinese.to@cert.legalmail.it,ufficio.protocollo@comune.borgaro-torinese.to.it,http://comune.borgaro-torinese.to.it,https://it.wikipedia.org/wiki/Borgaro_Torinese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001028.jpg
Borgiallo,001029,45.417055,7.668515,Torino,TO,Piemonte,1,10080,1952540019,borgiallo@cert.ruparpiemonte.it,info@comune.borgiallo.to.it,http://comune.borgiallo.to.it,https://it.wikipedia.org/wiki/Borgiallo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001029.jpg
Borgofranco d'Ivrea,001030,45.51286,7.858017,Torino,TO,Piemonte,1,10013,1799260011,comune.borgofrancodivrea@pec.it,protocollo@comune.borgofranco.to.it,http://comune.borgofranco.to.it,https://it.wikipedia.org/wiki/Borgofranco_d'Ivrea,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001030.jpg
Borgomasino,001031,45.363257,7.987523,Torino,TO,Piemonte,1,10031,84003430018,ragioneria.comune.borgomasino@pec.it,info@comune.borgomasino.to.it,http://comune.borgomasino.to.it,https://it.wikipedia.org/wiki/Borgomasino,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001031.jpg
Borgone Susa,001032,45.122844,7.239712,Torino,TO,Piemonte,1,10050,86501310014,protocollo@pec.comune.borgonesusa.to.it,,http://comune.borgonesusa.to.it,https://it.wikipedia.org/wiki/Borgone_Susa,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001032.jpg
Bosconero,001033,45.26755,7.7666,Torino,TO,Piemonte,1,10080,85501230016,bosconero@cert.ruparpiemonte.it,comune@bosconerocanavese.it,http://bosconerocanavese.it,https://it.wikipedia.org/wiki/Bosconero,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001033.jpg
Brandizzo,001034,45.176606,7.838004,Torino,TO,Piemonte,1,10032,82501690018,protocollo.comune.brandizzo.to@legalmail.it,,http://comune.brandizzo.to.it,https://it.wikipedia.org/wiki/Brandizzo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001034.jpg
Bricherasio,001035,44.823409,7.305296,Torino,TO,Piemonte,1,10060,1485680019,bricherasio@pcert.it,bricherasio@ruparpiemonte.it,http://comune.bricherasio.to.it,https://it.wikipedia.org/wiki/Bricherasio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001035.jpg
Brosso,001036,45.492502,7.803288,Torino,TO,Piemonte,1,10080,84003090010,brosso@cert.ruparpiemonte.it,brosso@ruparpiemonte.it,http://comune.brosso.to.it,https://it.wikipedia.org/wiki/Brosso,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001036.jpg
Brozolo,001037,45.117436,8.073603,Torino,TO,Piemonte,1,10020,82500410012,comunebrozolo@pec.it,info@comune.brozolo.to.it,http://comune.brozolo.to.it,https://it.wikipedia.org/wiki/Brozolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001037.jpg
Bruino,001038,45.021152,7.468551,Torino,TO,Piemonte,1,10090,86003310017,comune.bruino.to@cert.legalmail.it,comune@comune.bruino.to.it,http://comune.bruino.to.it,https://it.wikipedia.org/wiki/Bruino,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001038.jpg
Brusasco,001039,45.155492,8.060103,Torino,TO,Piemonte,1,10020,82500610017,brusasco@cert.ruparpiemonte.it,protocollo@comune.brusasco.to.gov.it,http://comune.brusasco.to.gov.it,https://it.wikipedia.org/wiki/Brusasco,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001039.jpg
Bruzolo,001040,45.142226,7.195648,Torino,TO,Piemonte,1,10050,1375760012,comune.bruzolo@anutel.it,ragioneria@comune.bruzolo.to.it,http://comune.bruzolo.to.it,https://it.wikipedia.org/wiki/Bruzolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001040.jpg
Buriasco,001041,44.87364,7.41032,Torino,TO,Piemonte,1,10060,85002970011,protocollo@pec.comune.buriasco.to.it,info@comune.buriasco.to.it,http://comune.buriasco.to.it/,https://it.wikipedia.org/wiki/Buriasco,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001041.jpg
Burolo,001042,45.48116,7.93392,Torino,TO,Piemonte,1,10010,1976030013,protocollo@pec.comuneburolo.it,info@comune.burolo.to.it,http://comune.burolo.to.it/,https://it.wikipedia.org/wiki/Burolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001042.jpg
Busano,001043,45.329438,7.655732,Torino,TO,Piemonte,1,10080,85501210018,busano@cert.ruparpiemonte.it,responsabiletributi.busano@ruparpiemonte.it,http://comune.busano.to.it/,https://it.wikipedia.org/wiki/Busano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001043.jpg
Bussoleno,001044,45.139271,7.147717,Torino,TO,Piemonte,1,10053,86501170012,bussoleno@postemailcertificata.it,,http://comune.bussoleno.to.it/,https://it.wikipedia.org/wiki/Bussoleno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001044.jpg
Buttigliera Alta,001045,45.068804,7.434488,Torino,TO,Piemonte,1,10090,3901620017,comune@pec.comune.buttiglieraalta.to.it,,http://comune.buttiglieraalta.to.it/,https://it.wikipedia.org/wiki/Buttigliera_Alta,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001045.jpg
Cafasse,001046,45.24596,7.517235,Torino,TO,Piemonte,1,10070,83002410013,comune.cafasse@pec.it,info@comune.cafasse.to.it,http://comune.cafasse.to.it/,https://it.wikipedia.org/wiki/Cafasse,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001046.jpg
Caluso,001047,45.304955,7.895722,Torino,TO,Piemonte,1,10014,84002950016,protocollo@pec.comune.caluso.to.it,protocollo@comune.caluso.to.it,http://comune.caluso.to.it/,https://it.wikipedia.org/wiki/Caluso,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001047.jpg
Cambiano,001048,44.971416,7.778698,Torino,TO,Piemonte,1,10020,1497290013,comune.cambiano@legalmail.it,info@comune.cambiano.to.it,http://comune.cambiano.to.it,https://it.wikipedia.org/wiki/Cambiano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001048.jpg
Campiglione Fenile,001049,44.804598,7.322313,Torino,TO,Piemonte,1,10060,1340750015,protocollo@cert.comune.campiglionefenile.to.it,protocollo@comune.campiglionefenile.to.it,http://comune.campiglionefenile.to.it/,https://it.wikipedia.org/wiki/Campiglione_Fenile,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001049.jpg
Candia Canavese,001050,45.327755,7.885121,Torino,TO,Piemonte,1,10010,1769350016,candia.canavese@cert.ruparpiemonte.it,,http://comune.candia.to.it,https://it.wikipedia.org/wiki/Candia_Canavese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001050.jpg
Candiolo,001051,44.959244,7.601722,Torino,TO,Piemonte,1,10060,1717430019,comune.candiolo.to@cert.legalmail.it,protocollo@comune.candiolo.torino.it,http://comune.candiolo.torino.it,https://it.wikipedia.org/wiki/Candiolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001051.jpg
Canischio,001052,45.373987,7.596126,Torino,TO,Piemonte,1,10080,1868520014,canischio@cert.ruparpiemonte.it,info@comune.canischio.to.it,http://comune.canischio.to.it,https://it.wikipedia.org/wiki/Canischio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001052.jpg
Cantalupa,001053,44.945941,7.330317,Torino,TO,Piemonte,1,10060,1689900015,protocollo@pec.comune.cantalupa.to.it,segreteria@comune.cantalupa.to.it,http://comune.cantalupa.to.it,https://it.wikipedia.org/wiki/Cantalupa,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001053.jpg
Cantoira,001054,45.343349,7.380124,Torino,TO,Piemonte,1,10070,83002890016,comune.cantoira@legalmail.it,municipio@comune.cantoira.to.it,http://comune.cantoira.to.it,https://it.wikipedia.org/wiki/Cantoira,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001054.jpg
Caprie,001055,45.118845,7.331914,Torino,TO,Piemonte,1,10040,1468480015,comune.caprie.to@legalmail.it,caprie@comune.caprie.to.it,http://comune.caprie.to.it,https://it.wikipedia.org/wiki/Caprie,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001055.jpg
Caravino,001056,45.398258,7.960322,Torino,TO,Piemonte,1,10010,84003450016,caravino@cert.ruparpiemonte.it,info@comune.caravino.to.it,http://comune.caravino.to.it,https://it.wikipedia.org/wiki/Caravino,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001056.jpg
Carema,001057,45.583302,7.810406,Torino,TO,Piemonte,1,10010,84001010010,comune.carema@pec.comune.carema.to.it,caremasegreteria@eponet.it,http://comune.carema.to.it,https://it.wikipedia.org/wiki/Carema,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001057.jpg
Carignano,001058,44.906943,7.673225,Torino,TO,Piemonte,1,10041,84515520017,protocollo@cert.comune.carignano.to.it,,http://comune.carignano.to.it,https://it.wikipedia.org/wiki/Carignano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001058.jpg
Carmagnola,001059,44.846947,7.717874,Torino,TO,Piemonte,1,10022,1562840015,protocollo.carmagnola@cert.legalmail.it,sindaco@comune.carmagnola.to.it,http://comune.carmagnola.to.it/ComHome.asp,https://it.wikipedia.org/wiki/Carmagnola,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001059.jpg
Casalborgone,001060,45.130451,7.940426,Torino,TO,Piemonte,1,10020,82500490014,casalborgone@postemailcertificata.it,segreteria@comune.casalborgone.to.it,http://comune.casalborgone.to.it,https://it.wikipedia.org/wiki/Casalborgone,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001060.jpg
Cascinette d'Ivrea,001061,45.480159,7.905619,Torino,TO,Piemonte,1,10010,1847110010,cascinette@pec.comune.cascinette.to.it,,http://comune.cascinette.to.it,https://it.wikipedia.org/wiki/Cascinette_d'Ivrea,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001061.jpg
Caselette,001062,45.104746,7.480817,Torino,TO,Piemonte,1,10040,1290670015,comune.caselette.to@legalmail.it,segreteria@comune.caselette.to.it,http://comune.caselette.to.it,https://it.wikipedia.org/wiki/Caselette,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001062.jpg
Caselle Torinese,001063,45.17749,7.646367,Torino,TO,Piemonte,1,10072,1614790010,comune.caselle-torinese@legalmail.it,protocollo@comune.caselle-torinese.to.it,http://comune.caselle-torinese.to.it,https://it.wikipedia.org/wiki/Caselle_Torinese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001063.jpg
Castagneto Po,001064,45.159251,7.889425,Torino,TO,Piemonte,1,10090,82501750010,comune.castagnetopo.to@legalmail.it,segreteria@comunedicastagnetopo.it,http://comune.castagnetopo.to.it,https://it.wikipedia.org/wiki/Castagneto_Po,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001064.jpg
Castagnole Piemonte,001065,44.898142,7.566123,Torino,TO,Piemonte,1,10060,85003030013,info@pec.castagnolepiemonte.net,info@comune.castagnolepiemonte.to.it,http://comune.castagnolepiemonte.to.it,https://it.wikipedia.org/wiki/Castagnole_Piemonte,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001065.jpg
Castellamonte,001066,45.381955,7.712117,Torino,TO,Piemonte,1,10081,1432050019,protocollo@pec.comune.castellamonte.to.it,,http://comune.castellamonte.to.it,https://it.wikipedia.org/wiki/Castellamonte,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001066.jpg
Castelnuovo Nigra,001067,45.438156,7.694615,Torino,TO,Piemonte,1,10080,83501890012,comune.castelnuovonigra@pec.it,ragioneria@castelnuovo-nigra.it,http://comune.castelnuovonigra.to.it,https://it.wikipedia.org/wiki/Castelnuovo_Nigra,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001067.jpg
Castiglione Torinese,001068,45.11905,7.807124,Torino,TO,Piemonte,1,10090,775690019,comune.castiglionetorinese.to@cert.legalmail.it,info@comune.castiglionetorinese.to.it,http://comune.castiglionetorinese.to.it,https://it.wikipedia.org/wiki/Castiglione_Torinese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001068.jpg
Cavagnolo,001069,45.152137,8.051479,Torino,TO,Piemonte,1,10020,82500670011,cavagnolo@cert.ruparpiemonte.it,ragioneria@comune.cavagnolo.to.it,http://comune.cavagnolo.to.it,https://it.wikipedia.org/wiki/Cavagnolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001069.jpg
Cavour,001070,44.785499,7.373841,Torino,TO,Piemonte,1,10061,1888550017,protocollo@pec.comune.cavour.to.it,protocollo@comune.cavour.to.it,http://comune.cavour.to.it,https://it.wikipedia.org/wiki/Cavour,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001070.jpg
Cercenasco,001071,44.861291,7.50127,Torino,TO,Piemonte,1,10060,85003050011,ragioneria@pec.comune.cercenasco.to.it,,http://comune.cercenasco.to.it,https://it.wikipedia.org/wiki/Cercenasco,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001071.gif
Ceres,001072,45.313377,7.389688,Torino,TO,Piemonte,1,10070,83000610010,comune.ceres@pec.comune.ceres.to.it,anagrafe@comune.ceres.to.it,http://comune.ceres.to.it,https://it.wikipedia.org/wiki/Ceres,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001072.jpg
Ceresole Reale,001073,45.431952,7.235706,Torino,TO,Piemonte,1,10080,1774080012,ceresole.reale@cert.ruparpiemonte.it,ceresole.reale@ruparpiemonte.it,http://comune.ceresolereale.to.it,https://it.wikipedia.org/wiki/Ceresole_Reale,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001073.jpg
Cesana Torinese,001074,44.952236,6.790805,Torino,TO,Piemonte,1,10054,1651110015,comunecesana@legalmail.it,info@comune.cesana.to.it,http://comune.cesana.to.it,https://it.wikipedia.org/wiki/Cesana_Torinese,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001074.jpg
Chialamberto,001075,45.363669,7.341471,Torino,TO,Piemonte,1,10070,83002850010,comchialamberto@pec.it,chialamberto@reteunitaria.piemonte.it,http://comune.chialamberto.to.it,https://it.wikipedia.org/wiki/Chialamberto,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001075.jpg
Chianocco,001076,45.148094,7.16933,Torino,TO,Piemonte,1,10050,1271840017,segreteria@pec.comune.chianocco.to.it,,http://comune.chianocco.to.it,https://it.wikipedia.org/wiki/Chianocco,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001076.jpg
Chiaverano,001077,45.49886,7.902619,Torino,TO,Piemonte,1,10010,2195200015,pec@pec.comune.chiaverano.to.it,info@comune.chiaverano.to.it,http://comune.chiaverano.to.it,https://it.wikipedia.org/wiki/Chiaverano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001077.jpg
Chieri,001078,45.013884,7.822354,Torino,TO,Piemonte,1,10023,82000210011,protocollo.chieri@pcert.it,protocollo@comune.chieri.to.it,http://comune.chieri.to.it,https://it.wikipedia.org/wiki/Chieri,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001078.jpg
Chiesanuova,001079,45.417886,7.655795,Torino,TO,Piemonte,1,10080,92505180015,comchiesanuova@postecert.it,info@comune.chiesanuova.to.it,http://comune.chiesanuova.to.it,https://it.wikipedia.org/wiki/Chiesanuova,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001079.jpg
Chiomonte,001080,45.119542,6.985306,Torino,TO,Piemonte,1,10050,86501290018,segreteria.chiomonte@pec.it,info@comune.chiomonte.to.it,http://comune.chiomonte.to.it,https://it.wikipedia.org/wiki/Chiomonte,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001080.jpg
Chiusa di San Michele,001081,45.103913,7.326972,Torino,TO,Piemonte,1,10050,1734110016,protocollo.chiusa.san.michele@cert.ruparpiemonte.it,,http://comune.chiusadisanmichele.to.it,https://it.wikipedia.org/wiki/Chiusa_di_San_Michele,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001081.jpg
Chivasso,001082,45.190959,7.887186,Torino,TO,Piemonte,1,10034,82500150014,protocollo@pec.comune.chivasso.to.it,protocollo@comune.chivasso.to.it,http://comune.chivasso.to.it,https://it.wikipedia.org/wiki/Chivasso,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001082.jpg
Ciconio,001083,45.329915,7.759492,Torino,TO,Piemonte,1,10080,85501290010,ciconio@cert.ruparpiemonte.it,,http://comune.ciconio.to.it,https://it.wikipedia.org/wiki/Ciconio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001083.jpg
Cintano,001084,45.428556,7.688115,Torino,TO,Piemonte,1,10080,83501580019,cintano@cert.ruparpiemonte.it,cintano@ruparpiemonte.it,http://comune.cintano.to.it,https://it.wikipedia.org/wiki/Cintano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001084.jpg
Cinzano,001085,45.09425,7.925627,Torino,TO,Piemonte,1,10090,82500510019,comune.cinzanotorino.to@cert.legalmail.it,protocollo@comune.cinzano.to.it,http://comune.cinzano.to.it,https://it.wikipedia.org/wiki/Cinzano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/001085.jpg
