pro_com_t,link,pec,cf,cap
001112,http://gassino.gov.it,gassino@cert.ruparpiemonte.it,82500830011,10090
001113,http://comune.germagnano.to.it,segreteria.protocollo@pcert.postecert.it,83000910014,10070
001114,http://comune.giaglione.to.it,comune.giaglione@actaliscertymail.it,86501150014,10050
001115,http://comune.giaveno.to.it,protocollo@cert.comune.giaveno.to.it,86003330015,10094
001116,http://comune.givoletto.to.it,segreteria@pec.comune.givoletto.to.it,01651250019,10040
001117,http://comune.gravere.to.it,gravere@cert.ruparpiemonte.it,86501210016,10050
001118,http://comune.groscavallo.to.it,info@pec.comune.groscavallo.to.it,83000970018,10070
001119,http://comune.grosso.to.it,grosso@pcert.it,01545330019,10070
001120,http://comune.grugliasco.to.it,grugliasco@cert.ruparpiemonte.it,01472860012,10095
001121,http://comune.ingria.to.it,protocollo@pec.comune.ingria.to.it,01840350019,10080
001122,http://comune.inversopinasca.to.it,comune.inverso@legalmail.it,85003150019,10060
001123,http://comune.isolabella.to.it,isolabella@cert.ruparpiemonte.it,84502050010,10046
001124,http://comune.issiglio.to.it,comune.issiglio@postecert.it,02013410010,10080
001125,http://comune.ivrea.to.it,protocollo@pec.comune.ivrea.to.it,00519320014,10015
001126,http://comune.la-cassa.to.it,la.cassa@cert.ruparpiemonte.it,01560470013,10040
001127,http://comune.laloggia.to.it,protocollo.laloggia@legalmail.it,84500810019,10040
001128,http://comune.lanzotorinese.to.it,comune.lanzotorinese@legalmail.it,83002670012,10074
001129,http://comune.lauriano.to.it,lauriano@cert.ruparpiemonte.it,82500430010,10020
001130,http://comune.leini.to.it,comune.leini.to@cert.legalmail.it,01777400019,10040
001131,http://comune.lemie.to.it,lemie@pcert.it,83001270012,10070
001132,http://comune.lessolo.to.it,comune.lessolo.to@cert.legalmail.it,84002870016,10010
001133,http://comune.levone.to.it,levone@cert.ruparpiemonte.it,85500790010,10070
001134,http://comune.locana.to.it/,locana@actaliscertymail.it,01394550014,10080
001135,http://comune.lombardore.to.it,amministrativo.lombardore@pec.it,85501510011,10040
001136,http://comune.lombriasco.to.it,protocollo@pec.comune.lombriasco.to.it,85003170017,10040
001137,http://comuneloranze.to.it,tributi.loranze@anutel.it,01895450011,10010
001139,http://comune.luserna.to.it,protocollo@pec.comune.luserna.to.it,01466170014,10062
001140,http://lusernetta.gov.it,comune.lusernetta.to@legalmail.it,02054360017,10060
001141,http://comune.lusiglie.to.it,lusiglie@cert.ruparpiemonte.it,83502320019,10080
001142,http://comune.macello.to.it,protocollo@pec.comune.macello.to.it,85009840019,10060
001143,http://comune.maglione.to.it,protocollo.maglione@cert.ruparpiemonte.it,01956170011,10030
001144,http://comune.marentino.to.it,comune.marentino@legalmail.it,90003870012,10020
001145,http://comunemassello.to.it,massello@cert.ruparpiemonte.it,85000150012,10060
001146,http://comune.mathi.to.it/,protocollo@pec.comune.mathi.to.it,01568600017,10075
001147,http://comune.mattie.to.it,comune.mattie@actaliscertymail.it,02057820017,10050
001148,http://comune.mazze.to.it,comune.mazze@postecert.it,01798300016,10035
001149,http://comune.meanadisusa.to.it,meanadisusa@postemailcertificata.it,02057840015,10050
001150,http://comune.mercenasco.to.it,mercenasco@cert.ruparpiemonte.it,84003830019,10010
001152,http://comune.mezzenile.to.it,mezzenile@cert.ruparpiemonte.it,01323030013,10070
001153,http://comune.mombelloditorino.to.it,mombello.di.torino@cert.ruparpiemonte.it,82000630010,10020
001154,http://comune.mompantero.to.it,certificata@pec.comune.mompantero.to.it,86501190010,10059
001155,http://comune.monasterodilanzo.to.it,monastero.di.lanzo@cert.ruparpiemonte.it,01350920011,10070
001156,http://comune.moncalieri.to.it,protocollo@cert.comune.moncalieri.to.it,01577930017,10024
001157,http://comune.moncenisio.to.it,comune.moncenisio@legalmail.it,01021740012,10050
001158,http://comune.montaldotorinese.to.it,comune.montaldotorinese.to@cert.legalmail.it,90011130011,10020
001159,http://comune.montalenghe.to.it,ragioneria.comune.montalenghe@pec.it,01156620013,10090
001160,http://comune.montalto-dora.to.it,protocollo.montalto.dora@cert.ruparpiemonte.it,01741070013,10016
001161,http://comune.montanaro.to.it,comune.montanaro.to@legalmail.it,01933140012,10017
001162,http://comune.monteudapo.to.it,protocollo.comune.monteudapo@pec.it,82501830010,10020
001163,http://comune.moriondo.to.it,comune.moriondotorinese.to@legalmail.it,82000610012,10020
001164,http://comune.nichelino.to.it,protocollo@cert.comune.nichelino.to.it,94031420014,10042
001165,http://comune.noasca.to.it,comunenoasca.to@pec.it,83500090010,10080
001166,http://comune.nole.to.it,comune.nole.to@legalmail.it,01282670015,10076
001167,http://comune.nomaglio.to.it,tributi.nomaglio@anutel.it,84003390014,10010
001168,http://comune.none.to.it,protocollo@pec.comune.none.to.it,85003190015,10060
001169,http://comune.novalesa.to.it,comune.novalesa@pec.it,00878080019,10050
001170,http://comune.oglianico.to.it,ragioneria.oglianico@pec.it,85501390018,10080
001171,http://comune.orbassano.to.it/it,protocollo@pec.comune.orbassano.to.it,01384600019,10043
001172,http://comune.oriocanavese.to.it,orio.canavese@cert.ruparpiemonte.it,01156600015,10010
001173,http://comune.osasco.to.it,osasco@cert.ruparpiemonte.it,85002230010,10060
001174,http://comune.osasio.to.it,comunediosasio@pec.it,85003210011,10040
001175,http://comune.oulx.to.it,oulx@postemailcertificata.it,01120470016,10056
001176,http://comune.ozegna.to.it,protocollo.comune.ozegna@pec.it,85501310016,10080
001177,http://comune.palazzocanavese.to.it,protocollo.palazzo.canavese@cert.ruparpiemonte.it,84001110018,10010
001178,http://comune.pancalieri.to.it,segreteria@pec.comune.pancalieri.to.it,85003230019,10060
001179,http://comune.parella.to.it,protocollo.parella@cert.ruparpiemonte.it,01783820010,10010
001180,http://comune.pavarolo.to.it,pavarolo@cert.ruparpiemonte.it,90011120012,10020
001181,http://comune.pavone.to.it,pavone.canavese@cert.ruparpiemonte.it,01700790015,10018
001183,http://comune.pecetto.to.it,info@pec.comune.pecetto.to.it,90002610013,10020
001184,http://comune.perosaargentina.to.it,protocollo.perosa.argentina@cert.ruparpiemonte.it,85002730019,10063
001185,http://comune.perosa-canavese.to.it,comune.perosacanavese@plionpec.it,84002970014,10010
001186,http://comune.perrero.to.it,perrero@cert.ruparpiemonte.it,85000130014,10060
001187,http://comune.pertusio.to.it,pertusio@cert.ruparpiemonte.it,83501630012,10080
001188,http://comune.pessinetto.to.it,pessinetto@cert.ruparpiemonte.it,83001510011,10070
001189,http://comune.pianezza.to.it,comune.pianezza@pec.it,01299070019,10044
001190,http://comune.pinasca.to.it,pinasca@cert.ruparpiemonte.it,85003250017,10060
001191,http://comune.pinerolo.to.it,protocollo.pinerolo@cert.ruparpiemonte.it,01750860015,10064
001192,http://comune.pinotorinese.to.it,protocollo@cert.comune.pinotorinese.to.it,82000370013,10025
001193,http://comune.piobesi.to.it,protocollo.comune.piobesi.to@pec.it,01579530013,10040
001194,http://comune.piossasco.to.it,comune.piossasco@legalmail.it,01614770012,10045
001195,http://comune.piscina.to.it,comune.piscina.to@pec.it,85003820017,10060
001196,http://comune.piverone.to.it,protocollo@pec.comune.piverone.to.it,84001150014,10010
001197,http://comune.poirino.to.it,info@pec.comune.poirino.to.it,84502090016,10046
001198,http://comune.pomaretto.to.it,pomaretto@cert.ruparpiemonte.it,85003270015,10063
001199,#N/A,#N/A,#N/A,#N/A
001200,http://comune.porte.to.it,porte@cert.alpimedia.it,01216670016,10060
001201,http://comune.pragelato.to.it,comunepragelato@legalmail.it,85003290013,10060
001202,http://comune.prali.to.it,prali@cert.ruparpiemonte.it,85000070012,10060
001203,http://comune.pralormo.to.it,protocollo@pec.comune.pralormo.to.it,84502010014,10040
001204,http://comune.pramollo.to.it,pramollo@postemailcertificata.it,01717670010,10065
001205,http://comune.prarostino.to.it,prarostino@cert.ruparpiemonte.it,85002710011,10060
001206,http://comune.prascorsano.to.it,prascorsano@cert.ruparpiemonte.it,01868540012,10080
001207,http://comune.pratiglione.to.it,pratiglione@cert.ruparpiemonte.it,01871460018,10080
001208,http://comune.quagliuzzo.to.it,protocollo.quagliuzzo@cert.ruparpiemonte.it,01814490015,10010
001209,http://comune.quassolo.to.it,quassolo@postemailcertificata.it,02156820017,10010
001210,http://comune.quincinetto.to.it,protocollo@pec.comune.quincinetto.to.it,84001170012,10010
001211,http://comune.reano.to.it,comune.reano.to@legalmail.it,86002550019,10090
001212,http://comune.ribordone.to.it,ribordone@pec.it,01394590010,10080
001213,http://comune.rivalba.to.it,protocollo@pec.comune.rivalba.to.it,82500550015,10090
001214,http://comune.rivalta.to.it,protocollo.rivalta@cert.legalmail.it,01864440019,10040
001215,http://comune.rivapressochieri.to.it,comune.rivapressochieri@postecert.it,90003890010,10020
001216,http://comune.rivara.to.it,amministrativo.rivara@pec.it,85501330014,10080
001217,http://rivarolocanavese.it,rivarolocanavese@pec.it,01413960012,10086
001218,http://comune.rivarossa.to.it,rivarossa@cert.ruparpiemonte.it,85501570015,10040
001219,http://comune.rivoli.to.it,comune.rivoli.to@legalmail.it,00529840019,10098
001220,http://comune.robassomero.to.it,protocollo.robassomero@pec.it,83001550017,10070
001221,http://comune.roccacanavese.to.it,rocca.canavese@cert.ruparpiemonte.it,83002630016,10070
001222,http://comune.roletto.to.it,protocollo@pec.comune.roletto.to.it,01689990016,10060
001223,http://comune.romanocanavese.to.it,romanocanavese@postemailcertificata.it,84003030016,10090
001224,http://comune.roncocanavese.to.it/,comune.roncocanavese@postecert.it,01487160010,10080
001225,http://comune-rondissone.to.it,comune.rondissone.pec@actaliscertymail.it,01570160018,10030
001226,http://comune.rora.to.it,rora@cert.ruparpiemonte.it,02089100016,10060
001227,http://comune.roure.to.it,roure@cert.ruparpiemonte.it,85003350015,10060
001228,http://comune.rosta.to.it,protocollo@pec.comune.rosta.to.it,01679120012,10090
001229,http://comune.rubiana.to.it,comune.rubiana.to@cert.legalmail.it,01817650011,10040
001230,http://comune.rueglio.to.it,protocollo@pec.comune.rueglio.to.it,84003670019,10010
001231,http://comune.salassa.to.it,protocollo@pec.comune.salassa.to.it,83501810010,10080
001232,http://comune.salbertrand.to.it,salbertrand@pec.it,00881010011,10050
001233,http://comune.saleranocanavese.to.it,protocollo.salerano.canavese@cert.ruparpiemonte.it,84001190010,10010
001234,http://comune.salzadipinerolo.to.it,salza.di.pinerolo@cert.ruparpiemonte.it,85003370013,10060
001235,http://comune.samone.tn.it,comune@pec.comune.samone.tn.it,81002230225,38059
001236,http://comune.sanbenignocanavese.to.it,sanbenigno@pec.comune.sanbenignocanavese.to.it,01875020016,10080
001237,http://comune.sancarlocanavese.to.it/,comune.sancarlo@pec.it,83003210016,10070
001238,http://comune.sancolombanobelmonte.to.it,sancolombanobelmonte@cert.ruparpiemonte.it,83501990010,10080
001239,http://comune.sandidero.to.it,comune.sandidero.to@pec.it,86501330012,10050
001240,http://comune.sanfrancescoalcampo.to.it,comunesanfrancescoalcampo@pec.it,83002830012,10070
001241,http://comune.sangano.to.it,protocollo@pec.comune.sangano.to.it,86008310012,10090
001242,http://comune.sangermanochisone.to.it,comune@cert.comune.sangermanochisone.to.it,01303920019,10065
001243,http://comune.sangillio.to.it,segreteria.sangillio@gigapec.it,86008190018,10040
001244,http://comune.sangiorgiocanavese.to.it,sangiorgiocanavese@pcert.it,02143040018,10090
001245,http://comune.sangioriodisusa.to.it,sangioriodisusa@postemailcertificata.it,01271860015,10050
001246,http://comune.sangiustocanavese.to.it,comune.sangiusto@pec.it,83501840017,10090
001247,http://comune.sanmartinocanavese.to.it,ragioneria.san.martino.canavese@cert.ruparpiemonte.it,84003870015,10010
001248,http://comune.sanmauriziocanavese.to.it,protocollo@pec.comune.sanmauriziocanavese.to.it,01126920014,10077
001249,http://comune.sanmaurotorinese.to.it,protocollo@cert.comune.sanmaurotorinese.to.it,01113180010,10099
001250,http://comune.sanpietrovallemina.to.it,demografico.sanpietro@pec.it,85002770015,10060
001251,http://comune.sanponso.to.it,san.ponso@cert.ruparpiemonte.it,83501390013,10080
001252,http://comune.sanraffaelecimena.to.it,comune.sanraffaelecimena.to@cert.legalmail.it,82501670010,10090
001253,http://comune.sansebastianodapo.to.it,comune.sansebastianodapo.to@pec.it,82500710015,10020
001254,http://comune.sansecondodipinerolo.to.it,protocollo@pec.comune.sansecondodipinerolo.to.it,02039660010,10060
001255,http://comune.santambrogioditorino.to.it,comune.santambrogio.to@legalmail.it,86002450012,10057
001256,http://comune.santantoninodisusa.to.it/default.asp,comune.santantoninodisusa.to@legalmail.it,01473430013,10050
001257,http://comune.santena.to.it,santena@cert.comune.santena.to.it,82000790012,10026
001258,http://comune.sauzedicesana.to.it,comunesauzedicesana@legalmail.it,01299530012,10054
001259,http://comune.sauzedoulx.to.it,comune.sauzedoulx@legalmail.it,01299510014,10050
001260,http://comune.scalenghe.to.it,scalenghe@cert.ruparpiemonte.it,85003410017,10060
001261,http://comune.scarmagno.to.it,scarmagno@postemailcertificata.it,84001840010,10010
001262,http://comune.sciolze.to.it,protocollo@pec.comunedisciolze.it,82500570013,10090
001263,http://comune.sestriere.to.it,comunesestriere@legalmail.it,01139410011,10058
001264,http://siti.intornoallago.it/portale/I-comuni-d/Settimo-Ro/index.htm,protocollo.settimo.rottaro@cert.ruparpiemonte.it,84001210016,10010
001265,http://comune.settimo-torinese.to.it,settimo@cert.comune.settimo-torinese.to.it,01054240013,10036
001266,http://comune.settimovittone.to.it,settimovittone@pec.it,84003810011,10010
001267,http://comune.sparone.to.it,ragioneria.comunesparone.to@pec.it,01394570012,10080
001268,http://comune.strambinello.to.it,strambinello@cert.ruparpiemonte.it,01763870019,10010
001269,http://comune.strambino.to.it,comune.strambino@legalmail.it,84002930018,10019
001270,http://cittadisusa.it,comune.susa.to@legalmail.it,86501110018,10059
001271,http://comune.tavagnasco.to.it,comunetavagnasco@postecert.it,02156840015,10010
001272,http://comune.torino.it,protocollogenerale@cert.comune.torino.it,00514490010,10138
001273,http://torrazzapiemonte.eu,torrazzapiemonte@postemailcertificata.it,01769850015,10037
001274,http://torrecanavese.piemonte.it/,torre.canavese@cert.ruparpiemonte.it,01991340017,10010
001275,http://comunetorrepellice.to.it,protocollo@pec.comunetorrepellice.it,01451120016,10066
001276,http://comune.trana.to.it,comune.trana.to@legalmail.it,86001770014,10090
001278,http://comune.traversella.to.it,comune.traversella@pec.it,84003110016,10080
001279,http://comune.traves.to.it,traves@cert.ruparpiemonte.it,83001930011,10070
001280,http://comune.trofarello.to.it,protocollo.trofarello@cert.legalmail.it,01733310013,10028
001281,http://comune.usseaux.to.it,usseaux@cert.ruparpiemonte.it,85003450013,10060
001282,http://comune.usseglio.to.it,info@pec.comune.usseglio.to.it,83001970017,10070
001283,http://comune.vaie.to.it,info@pec.comune.vaie.to.it,01473450011,10050
001284,http://valdellatorre.gov.it,protocollo.comunevaldellatorre.to@pec.it,86003470019,10040
001285,http://comune.valgioie.to.it,comune.valgioie.to@pec.it,86003530010,10094
001286,http://vallo-torinese.it,vallo.torinese@cert.ruparpiemonte.it,01399810017,10070
001287,http://comune.valperga.to.it,protocollo@pec.comune.valperga.to.it,83501310011,10087
001288,http://comune.valpratosoana.to.it,comune.valprato@pec.pftech.it,02216150017,10080
001289,http://comune.varisella.to.it,protocollo@pec.comunevarisella.to.it,83002070015,10070
001290,http://comune.vaudacanavese.to.it,comune.vaudacanavese.to@cert.legalmail.it,83002730014,10070
001291,http://comune.venaus.to.it,comune.venaus@legalmail.it,01865850018,10050
001292,http://comune.venariareale.to.it,protocollovenariareale@pec.it,01710650019,10078
001293,http://comuneverolengo.it,segreteria@comuneverolengo.legalmailpa.it,82500370018,10038
001294,http://comune.verruasavoia.to.it,protocollo@pec.comune.verruasavoia.to.it,82500250012,10020
001295,http://comune.vestigne.to.it,protocollo.comune.vestigne@pec.it,84000690010,10030
001296,http://comune.vialfre.to.it,vialfre@postemailcertificata.it,84003850017,10090
001298,http://comune.vidracco.to.it,comune.vidracco@postecert.it,02013430018,10080
001299,http://comune.vigone.to.it,comunevigone@postecert.it,85003470011,10067
001300,http://comune.villafrancapiemonte.to.it,protocollo@pec.comune.villafrancapiemonte.to.it,01692900010,10068
001301,http://comune.villanovacanavese.to.it,protocollo@pec.comune.villanovacanavese.to.it,83002110019,10070
001302,http://comune.villarbasse.to.it,comune.villarbasse.to@legalmail.it,86008350018,10090
001303,http://comune.villardora.to.it,comune.villardora.to@cert.legalmail.it,86002210010,10040
001304,http://comune.villareggia.to.it,comune.villareggia@pec.it,01454620012,10030
001305,http://comune.villarfocchiardo.to.it,villar.focchiardo@pec.comune.villarfocchiardo.to.it,01375740014,10050
001306,http://comunevillarpellice.it,comunevillarpellice@pec.it,02168090013,10060
001307,http://comune.villarperosa.to.it,villar.perosa@cert.ruparpiemonte.it,01136320015,10069
001308,http://comune.villastellone.to.it,comune.villastellone.to@legalmail.it,01791460015,10029
001309,http://comune.vinovo.to.it,protocollo.vinovo@cert.ruparpiemonte.it,01504430016,10048
001310,http://comune.virlepiemonte.to.it,virle.piemonte@cert.ruparpiemonte.it,85003550010,10060
001311,http://comune.vische.to.it,vische@cert.ruparpiemonte.it,01397480011,10030
001312,http://comune.vistrorio.to.it,vistrorio@cert.ruparpiemonte.it,01745550010,10080
001313,http://comune.viu.to.it,viu@cert.ruparpiemonte.it,83002150015,10070
001314,http://comune.volpiano.to.it,protocollo@pec.comune.volpiano.to.it,01573560016,10088
001315,http://comune.volvera.to.it,comune.volvera.to@legalmail.it,01939640015,10040
001316,http://comune.mappano.to.it,comune.mappano.to@legalmail.it,92048130014,10072
001317,http://comune.valdichy.to.it,valdichy@pcert.it,93048750017,10010
001318,http://comune.valchiusa.to.it,valchiusa@pcert.it,93048770015,10080
002002,http://comune.alagnavalsesia.vc.it,comune.alagnavalsesia.vc@legalmail.it,82000010023,13021
002003,http://comune.albano.vercellese.vc.it,albano.vercellese@cert.ruparpiemonte.it,80002170027,13030
002004,http://comune-alicecastello-vercelli.it,alice.castello@legalmail.it,00317490027,13040
002006,http://comune.arborio.vc.it,arborio@cert.ruparpiemonte.it,00374100022,13031
002007,http://comune.asiglianovercellese.vc.it/,asigliano.vercellese@cert.ruparpiemonte.it,80003270024,13032
